Package_name,Reviewer_name,Review,Rating
Norton Genie,Hannah Matte,,3
Norton Genie,Amanda “Nici” Baggett,literally able get app work properly even one time today errored 3x row cant get analyze screenshot potential spam sm received even tried copy pasting text sm message errored would provide input fyi app fully updated device,1
Norton Genie,Jereh Saingeu,good,5
Norton Genie,Shane Babcock,excellent app,5
Norton Genie,Ann,always ball feel much easier regard spam ann north wale,5
Norton Genie,Kunal Bhati,kunal dhati,4
Norton Genie,Akash Bhai,aakash,5
Norton Genie,Onyaso the Man,nice scumer detection ever met playstore,5
Norton Genie,Jill Hooker,hacked bad year stealing money paying apps like phone number seven apps travis rodifer,5
Norton Genie,Fritzner Chery,since found norton genie kept protocol give explanation never let go disguise norton genie recognize green lantern came galaxy far away planet earth green lantern never return property last detail,5
Norton Genie,Samsar Ali,samsar ali hhgg,5
Norton Genie,Gudu Gorh,umm thank,5
Norton Genie,Vaseekaran vaseekaran Vaseekaranvaseekaran,sudhakar,5
Norton Genie,Priya Priya,display finger lag ja,1
Norton Genie,Khadka Khadka,krishna khadka,5
Norton Genie,M.naveen,ijvj,5
Norton Genie,Jose Fernando Correa Madrid,work fine,5
Norton Genie,Yo Evans,curious confirmed risk level,5
Norton Genie,Sasha,good app many text message seem like real issue could scam app reassuring recommend delete report sus text,5
Norton Genie,Jeramy Wood,spot,4
Norton Genie,BYRON VYRONOS SERAPHIM OF LIGHT ARCHANGEL,scam ai,1
Norton Genie,Advocate A k rana,okey,5
Norton Genie,Mark Crawford,great tool receive questionable email text advice download immediately holiday season,5
Norton Genie,Sérgio Samad (EnkI),amazingly easy use useful,5
Norton Genie,Bholu Gohil,bholn gohil,5
Norton Genie,oog boog,fantastic,5
Norton Genie,BB Priv,useful especially scam done pretty well sure,5
Norton Genie,Chuck s,doesnt work,1
Norton Genie,James Hartnell,still learning like,5
Norton Genie,Edna Villaros,feel better needed help thanks,5
Norton Genie,Karen Kelly,love application time tell gotten scam message lot way get information dont know application check deceitful trickery thief using get account steal personal private information commit identity theft app quick thorough accurate easy use informative free use best thing put mind ease highly recommend beaming_face_with_smiling_eyes,5
Norton Genie,Pawal bage Bage,hello friend kaysii hai mujhe bing,5
Norton Genie,Angela Armstrong,love love app,5
Norton Genie,Yug Gupta,nice,4
Norton Genie,Nuwan heshan,good,1
Norton Genie,RAGHUNATH ISHWAR,revolving_heartsoncoming_fistcall_me_handraised_fistrevolving_hearts,4
Norton Genie,Mary Clayton,good,5
Norton Genie,George Cobb,thumbs_upthumbs_up,5
Norton Genie,Kaobe Schmeer,love easy use sharing screenshot far month ive using helpful app havent false response one hundred worth u ever even slightest amount suspicion highly recommended especially neverending progression fraud scamming capability technology advance provide alongside level greed desperation continues skyrocketing inflation need sorted,5
Norton Genie,Michael Hall,really bad,1
Norton Genie,Sherry Bedwell,app great kept scammed four time great app easy use,5
Norton Genie,Chad Urso,ai always awesome integrate learning capability others value moral respected directive kjv,4
Norton Genie,Mark Bailey,every app room improvement app legit flag ton potential scam decerns link concernsauto technology difficult thing develop dr web appears missing key seems patching oneit mutual responsibility network even free version guard point original root ai systemweb missing root life license perhaps error power tethering,3
Norton Genie,Stuart Langmead,good app,5
Norton Genie,john webster,excellent impressive app,5
Norton Genie,tim walters,fantastic bit kit scan everything ok_hand keep phone safe scamers,5
Norton Genie,Katherine Lynn Hermes,didnt see use,2
Norton Genie,Prasenjit Tripura,prasenjit tripura prasenjit tripura prasenjit tripura,5
Norton Genie,Ajay Zapadiya,ok,5
Norton Genie,Sajid Khan,helpful app,5
Norton Genie,PhoeNyx Reign,love thorough app fact effectively explains every step definite positive aspect legitimately saved time opening suspicious site link mention super easy navigate ill using app forever,5
Norton Genie,Patrick Murphy,prohibited,5
Norton Genie,Kim,doesnt say,1
Norton Genie,Lance Blumenthal,ask question ask said nice day didnt work work like loudly_crying_facethumbs_downok_handvictory_hand need work upgrade confused_face ok victory_hand,1
Norton Genie,Lroyce Cooper,sungod,5
Norton Genie,Robert Rucker,uninstalled wanted upload file url guess cant scan entire device dont time scan file individually think must upload something server scanned look like data farming app,2
Norton Genie,Bobby Johnson,app thought great got thanks,5
Norton Genie,Dikshit Dikshit,hey siri open free fire,5
Norton Genie,Pankaj Rajwal,5star,5
Norton Genie,Anarul Islam,riajulhouk ansbsndsn snsnssn,4
Norton Genie,Juan m zavalza Polanco,love norton genie,5
Norton Genie,Cyrus Bishop,park addy nounmatetradieyyyy,5
Norton Genie,Manju Pareek,let give time assess,5
Norton Genie,Victoria Ashworth,first time using performance use,3
Norton Genie,Raine,great app identified dozen fake message phishing text email,5
Norton Genie,Pro Grasr,hogan history bartow,5
Norton Genie,Darrenisha Mullen,like ok_hand,5
Norton Genie,Keno Ashley,good job devp team,5
Norton Genie,E R,lifesaver,5
Norton Genie,Mark Nelson,tell others,5
Norton Genie,Having HH FF,thank,5
Norton Genie,Kirti gupta Kirti gupta,good app helpfull,5
Norton Genie,zaheen saiyed,giod,2
Norton Genie,Dev Ray,দব,5
Norton Genie,Steven Small,helpful easy conversate,5
Norton Genie,Angie Wilson,excellent,5
Norton Genie,Shakti Kumar,dilet,1
Norton Genie,Brian Allen,scan tron male femini phone interacton,4
Norton Genie,Rudyard Singh,like app,5
Norton Genie,david baldwin,thanks great hae broad,5
Norton Genie,Appu Khatriye,hii sir good evening fjg tt h theek karni gali truthfully tv bunty eng th jj gb naveen jj th tt 5o yr gb tt okh th th ok pu tv rf ga thn b recurring teen yg eak ok ok sh th ok rk8o mi een t5o eg ok tanki een uk 4th l ok tv ranj 6th hii th ki uk hii r yu k hv un tum j take fun toh r hii length gg ii gf th bcci tehri th kg th get bc gb tang web uk licen n tv u fb id th red hub toh tu th henry kg th sb wit bgmi,5
Norton Genie,Amit Kumar,amit yadav,4
Norton Genie,Samir Das,mujhe histry chahie apne phone mein lagana hai har baat mane mera,3
Norton Genie,Jeremy miller,superblock,3
Norton Genie,Amber Meece,keep changing answer pic email asked week apart email scanned said scam week later email scanned said cant confirm whether scam multiple text pic asked multiple time,2
Norton Genie,Ken Chapman,norton always accurate answersi used google search came better answer norton app sorry uninstalled bye4now,3
Norton Genie,Charles A Dyson. Jr,great app far,5
Norton Genie,Vishal Gokhare,nice app,5
Norton Genie,Dylan Pereira,norton biggest scammer give detail especially credit card detail take card detail keep charging way remove charging card charged year keep used good company scammer thief use trust data company sell make money unethical company,1
Norton Genie,Adam Farnsworth (Brownie),nothing good thing say norton genie experience ive thus far far one best antitheft antiscam inclusive ai defense mobile device,5
Norton Genie,Victor Zubrzycki,uninstall,2
Norton Genie,Candace Cox,norton genie new forever best friend,5
Norton Genie,Roshan Chaurasiya,astonished_face,5
Norton Genie,Agent Tomcat,seems well reviewed despite moneyhungry norton seems one good tool theyve created add ability reverse image search possible scammer photo ill super impressed,4
Norton Genie,Ade “Me” Harris,scammed money loudly_crying_face,1
Norton Genie,Peter,helpful detailed instruction,5
Norton Genie,LoriA P,helpful tool,5
Norton Genie,Sandra Lindgren,always check unknowing link norton genie work,5
Norton Genie,Bob Deadbob,kept getting answer inconclusive closer look waste time norton thought better,1
Norton Genie,Cindy Jester,app amazing finally app exactly say easy use guess work use applaud norton another addition family great software youll wonder ya life without,5
Norton Genie,Karate j Michael,good useful,5
Norton Genie,Brian Drew,tightfeatherdovewingcricketspider_web,5
Norton Genie,Dennis Lokken,block text tell scam,1
Norton Genie,Karen Wilcox,think amazing would technology youre able keep scan stuff thank protecting revolving_heartsrevolving_heartsrevolving_hearts,5
Norton Genie,Poonam Yadav,यह बहत मसत ह,5
Norton Genie,Scott Chya,got ta admit immediately reminds terminator flick getting know trustyour app something im looking forward c u soon,3
Norton Genie,Larry Hulgin,far great,5
Norton Genie,David Miller,change rating could give zero star would used smart app take picture something want know fraud give information didnt even ask give like made dumber past six month would make something worse fine dont use useless like google ai app thats joke used better happened,1
Norton Genie,Crystalized Bowyer,entertainment love sex money dna change life,5
Norton Genie,Roger Rutz,worked great,4
Norton Genie,Mary j Lunsford,thought robot could better must tellum want hear kinda bot,2
Norton Genie,Karla Sterner,ok,5
Norton Genie,G David (Gabriel David),oh cest génial jai vraiment besoin dun ami empathique oh thats awesome really need empathetic friend,5
Norton Genie,Karen Hoehne,easy use efficient,5
Norton Genie,Mark Whalley,help thank smiling_face_with_smiling_eyes folded_hands,4
Norton Genie,cleod gameing,really helpful checking something suspect scam would recommend,5
Norton Genie,Sukanta Barman,debsehwarbarman,1
Norton Genie,Don Blain,incredible,5
Norton Genie,Deborah,really didnt get much app six month deleted today really couldnt find anything useful idea sound ever another product like future id love try im impressed,2
Norton Genie,Alireza 2357,good,5
Norton Genie,Richard Gordon (Hillbilly),helpful catching scammer text message favorite part screenshot suspicious email,5
Norton Genie,Wossen Sisay,nice,5
Norton Genie,Mackenzie Mills,block compliance,4
Norton Genie,Young “T-RAW” Thug,good thumbs_up,5
Norton Genie,cyrel van Wyk,lov helpful,5
Norton Genie,Hung ho,tested seems useful business owner many thing look convincing infact scamfraudsand phishing app come action keep scammer waiting thinking away steal detail next step get money least expected genie professional know stop scammer baygrinning_facegrinning_facegrinning_face,5
Norton Genie,Damien Willis,app appeared b four birthday,5
Norton Genie,Tammy Webber,excellent app,5
Norton Genie,Miss Ingrid Lise Larssen (Boring_Icon),unsafe never use ever againkeycap_1eightpointed_starenraged_facethumbs_downprohibiteddouble_exclamation_mark,1
Norton Genie,Christopher Joseph Simmons,bet defi alphabet conjunction,5
Norton Genie,Joseph Fincher,get new phone number teacher friend,5
Norton Genie,Rakesh Kumar,rakhes yadab chuck im im,5
Norton Genie,Idaline Spencer,awesome saved many scam,5
Norton Genie,Jayce Clifford Denton (PROXAMENTCHONCH),say helped scam phone service,5
Norton Genie,Mayank Meena,bast vary nice day,5
Norton Genie,Anshika Chaurasiya,anshika amit,1
Norton Genie,Kennie Kim,really helpful got many scammed chat room,5
Norton Genie,Jonathan,absolutely love appthumbs_upflexed_bicepsflexed_bicepsso far spot identifying scammer showing handle situation hand prevent happening would definitely recommend app anyone said thank norton personnel,5
Norton Genie,J azz Sheepyhead,describe experience unless missed something likely haha theni dont know get genie apps text get th explain pleaseor idiot like learn use genie saying give ten star,2
Norton Genie,Rahman Ramon Muhammad Cornick,used another another system first time im going try phone computer like ill get back still give five star based company credibility high standard quality apps,5
Norton Genie,Shawn maurice Johnson,good app warn virus spam,5
