Apps package name,Review,Polarity
0,Norton Genie,literally able get app work properly even one time today errored 3x row cant get analyze screenshot potential spam sm received even tried copy pasting text sm message errored would provide input fyi app fully updated device,-0.1779
1,Norton Genie,good,0.4404
2,Norton Genie,excellent app,0.5719
3,Norton Genie,always ball feel much easier regard spam ann north wale,0.0772
4,Norton Genie,kunal dhati,0.0
5,Norton Genie,aakash,0.0
6,Norton Genie,nice scumer detection ever met playstore,0.4215
7,Norton Genie,hacked bad year stealing money paying apps like phone number seven apps travis rodifer,-0.7964
8,Norton Genie,since found norton genie kept protocol give explanation never let go disguise norton genie recognize green lantern came galaxy far away planet earth green lantern never return property last detail,0.1877
9,Norton Genie,samsar ali hhgg,0.0
10,Norton Genie,umm thank,0.3612
11,Norton Genie,sudhakar,0.0
12,Norton Genie,display finger lag ja,-0.34
13,Norton Genie,krishna khadka,0.0
14,Norton Genie,ijvj,0.0
15,Norton Genie,work fine,0.2023
16,Norton Genie,curious confirmed risk level,0.0516
17,Norton Genie,good app many text message seem like real issue could scam app reassuring recommend delete report sus text,0.7096
18,Norton Genie,spot,0.0
19,Norton Genie,scam ai,-0.5719
20,Norton Genie,okey,0.0
21,Norton Genie,great tool receive questionable email text advice download immediately holiday season,0.6808
22,Norton Genie,amazingly easy use useful,0.7474
23,Norton Genie,bholn gohil,0.0
24,Norton Genie,fantastic,0.5574
25,Norton Genie,useful especially scam done pretty well sure,0.6976
26,Norton Genie,doesnt work,0.0
27,Norton Genie,still learning like,0.3612
28,Norton Genie,feel better needed help thanks,0.8176
29,Norton Genie,love application time tell gotten scam message lot way get information dont know application check deceitful trickery thief using get account steal personal private information commit identity theft app quick thorough accurate easy use informative free use best thing put mind ease highly recommend beaming_face_with_smiling_eyes,0.7778
30,Norton Genie,hello friend kaysii hai mujhe bing,0.4939
31,Norton Genie,love love app,0.8555
32,Norton Genie,nice,0.4215
33,Norton Genie,good,0.4404
34,Norton Genie,revolving_heartsoncoming_fistcall_me_handraised_fistrevolving_hearts,0.0
35,Norton Genie,good,0.4404
36,Norton Genie,thumbs_upthumbs_up,0.0
37,Norton Genie,love easy use sharing screenshot far month ive using helpful app havent false response one hundred worth u ever even slightest amount suspicion highly recommended especially neverending progression fraud scamming capability technology advance provide alongside level greed desperation continues skyrocketing inflation need sorted,0.5154
38,Norton Genie,really bad,-0.5849
39,Norton Genie,app great kept scammed four time great app easy use,0.9022
40,Norton Genie,ai always awesome integrate learning capability others value moral respected directive kjv,0.8625
41,Norton Genie,every app room improvement app legit flag ton potential scam decerns link concernsauto technology difficult thing develop dr web appears missing key seems patching oneit mutual responsibility network even free version guard point original root ai systemweb missing root life license perhaps error power tethering,-0.5719
42,Norton Genie,good app,0.4404
43,Norton Genie,excellent impressive app,0.7906
44,Norton Genie,fantastic bit kit scan everything ok_hand keep phone safe scamers,0.7579
45,Norton Genie,didnt see use,0.0
46,Norton Genie,prasenjit tripura prasenjit tripura prasenjit tripura,0.0
47,Norton Genie,ok,0.296
48,Norton Genie,helpful app,0.4215
49,Norton Genie,love thorough app fact effectively explains every step definite positive aspect legitimately saved time opening suspicious site link mention super easy navigate ill using app forever,0.9524
50,Norton Genie,prohibited,0.0
51,Norton Genie,doesnt say,0.0
52,Norton Genie,ask question ask said nice day didnt work work like loudly_crying_facethumbs_downok_handvictory_hand need work upgrade confused_face ok victory_hand,0.4386
53,Norton Genie,sungod,0.0
54,Norton Genie,uninstalled wanted upload file url guess cant scan entire device dont time scan file individually think must upload something server scanned look like data farming app,0.3612
55,Norton Genie,app thought great got thanks,0.7906
56,Norton Genie,hey siri open free fire,0.2263
57,Norton Genie,5star,0.0
58,Norton Genie,riajulhouk ansbsndsn snsnssn,0.0
59,Norton Genie,love norton genie,0.6369
60,Norton Genie,park addy nounmatetradieyyyy,0.0
61,Norton Genie,let give time assess,0.0
62,Norton Genie,first time using performance use,0.0
63,Norton Genie,great app identified dozen fake message phishing text email,0.25
64,Norton Genie,hogan history bartow,0.0
